cnty_fips,cnty_name,povpct,pop_2014,pop_densit,age_lt18,pct_age_lt,age_18_65,pct_age_18,age_gt_65,pct_age_gt,female_tot,female_pct,male_total,male_pct,rural_totp,rural_pct,urban_totp,urban_pct,maxeducHS,maxeducSom,pct_unempl,pricarephy,pcp_per_ca,dentist_to,dentist_pe,mentalhp_t,mentalhp_p,preventHos,food_insec,limit_food,res_concxn,pctpopwbba,pctpopwobb,pctdsgt15K,pctdsgt25K,pctdsgt50K,pctdsgt100,pctdsgt1G_,pctusgt1K3,pctusgt3K4,pctusgt4K6,pctusgt6K1,pctusgt10K,pctusgt15K,pctusgt25K,pctusgt50K,pctusgt100,pctusgt1G_,mcds_prop,mcds_tier,mcus_prop,mcus_tier,provcnt_bu,provcnt_co,cumm_pro_1,cumm_pro_2,cumm_pro_3,cumm_pro_4,cumm_pro_5,cumm_pro_6,cumm_pro_7,cumm_pro_8,pctpopdsgt,pctpopusgt,hcf_13_15,tcf_13_15,bpr_ruralp,nchs_rural,omb_rural,rucc_2013,rucc_metro,usac_rural,rural_totp,rural_pct,limit_food,Common_dow,Common_upl,AveMinHosp,AveMinUrgC,AveMinPubH,AveMinNurs,AveMinECHO,GiniIndex,TPopS2701,HspanyRace,PctHispani,AfrAmer,PctAfAmer,Disability,PctDisable,InsTpop,InsHisp,InsAfAmer,InsDisabil,PInsHisp,PInsAfAm,PInsDisabl,RUCC_2013,RUCC_Descr,E_pop18up,EVet_18up,PVet_18up,PVetGulf20,PVetGulf90,PVetVietna,PVetKorean,PVetWWII,E_A65_74,P_A65_74,EVet_A65_7,PVet_A65_7,E_A75up,P_A75up,EVet_A75up,PVet_A75up,E_MEDINC,EVetMEDINC,ENovetMEDI,E_EDUCpop2,EVetEDUCpo,E_EDUC_LTH,P_EDUC_LTH,EVetEDUC_L,PVetEDUC_L,E_EDUC_HS,PEDUC_HS,EVetEDUC_H,PVetEDUC_H,E_EDUC_Col,P_EDUC_Col,EVetEDUC_C,PVetEDUC_C,E_EDUC_Bac,P_EDUC_Bac,EVetEDUC_B,PVetEDUC_B,E_Emp_64,EVetEmp_64,ENonVetEmp,PEmpStat_6,PVet_64par,P_64UnEmrt,PVet_64UnE,E_POV_STAT,EVetPOV_ST,E_BPovLev,P_BPovLev,EVet_BPovL,PVet_BPovL,E_Disab,P_Disab,EVetDisab,PVetDisab,PctVet65up,PS_T_Work16,Work_Carpool,Worknumpveh,Work_PubTran,Work_Walk,Work_AtHome,PS_WorkinSRes,Work_InSInCnty,Work_InSoCnty,Work_OutState,Work_lt10min,Work_10_14min,Work_15_19min,Work_20_24min,Work_25_29min,Work_30_34min,Work_35_44min,Work_45_59min,Work_gt60min,Work_Meanmin,PS_Work16HH,Work_HHNoVeh,Work_HH1veh,Work_HH2veh,Work_HH3upveh,Work_lt30min,Work_lt60min,PS_WorknotatHo9me,Work_anyVeh,PopDensqmi,NurseHmBeds,NursHm_Est,MeatProcEst,MeatProcWrks,AccFdServEst,AccFdServWrks,HEdEst,HEdTotEnroll,HEdDormCap,HEdTotEmp,DP04_TotHUnits,OcRmPer1to1_5,OcRmCnt1to1_5,OcRmPer1_5plus,OcRmCnt1_5plus,HUDensity,GPwChu18Cnt,HHw65pPct,HHw65pLAPct,HHw65pCnt,HH65pLACnt,GPwChu18Pct,LeisTime,StrokeHosp,WOHlthIns,Obesity,Diabetes,NonadhBld,AvePM2p5,TotCardDis,Hyperten,HeartDis,SmokePrev2,SmokeROC96,Age65plus,Age75plus,PctUninsur,PctUnins65,PctUnins75,TPops2701,Age65P_Nor,Age75P_Nor,cnty_fips,Population,TotalCases,TotalDeath,TotalTests,Case_7Day,Death_7Day,Test_7Day,PosRate1_7,PosRate2_7,NTotalCase,NTotalDeat,NTotalTest,NCase_7Day,NDeath_7Da,NTest_7Day
29001,Adair,26.9,25602,44.8645233,4759,18.6,17400,68,3443,13.4,13321,52,12281,48,9691,37.9,15911,62.1,92.1,60.1,5.4,32,0.001249902,13,0.000507773,40,0.001562378,51.71,17,9,4,74.5,25.5,25.5,1.1,73.4,0,0,25.2,0,0.3,73.4,0,1.1,0,0,0,0,73.4,pctDSGt50000kAndLt100000k_hi_c,73.4,pctUSGt6000kAndLt10000k_hi_c,11,8,0,15.7,28.3,99.2,100,100,100,4,74.5,74.8,15739,0,43,1,0,7,1,Rural,9691,37.9,9,8,4,14.1456,67.5,13.5873,12.6898,13.6927,0.513,25021,310,0.0123896,814,0.0325327,3083,0.123216,2118,37,215,224,11.9,26.4,7.3,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                       *",20761,1413,6.8,13.2,15.9,40.6,13.1,3.8,1983,9.6,430,30.4,1613,7.8,340,24.1,19948,40769,18324,13506,1413,1263,9.4,112,7.9,4831,35.8,560,39.6,3354,24.8,417,29.5,4058,30,324,22.9,17165,643,16522,61.6,72.2,6.3,2.2,18141,1381,5087,28,57,4.1,2969,16.4,443,32.1,0.214127,11047,12.1,1.08,0.1,4,4,98.5,87.7,10.8,1.5,37.1,24.4,11.9,9.7,3.3,4.2,2.9,2.6,4,17.1,10574,2.7,20.7,38.6,38,49.3,59,10604,97.3,45,613,3,1,375,47,1057,3,9602,2744,2207,11499,0.6,53,0.1,8,7.841,265,26.9,13.7,2562,1302,1.856,31.7,9.7,10.6,28.2,8.2,20,9.5,55.5,4.4,40.9,23.3,-0.2,3439,1485,8.5,0.1,0.2,25021,0.137,0.059,29001,25343,696,0,9868,90,0,427,35.43307087,21.31147541,0.027463205,0,0.389377737,0.003551276,0,0.016848834
29003,Andrew,10.7,17379,39.78479257,4020,23.1,10393,59.8,2967,17.1,8790,50.6,8589,49.4,10650,61.3,6729,38.7,87.8,60.1,4.8,2,0.000115081,4,0.000230163,0,0,65.01,11,4,4,83.5,16.5,16.5,0,0,65.4,18.1,16.5,0,28.7,0,0,0,0,36.7,0,18.1,65.4,pctDSGt100000kAndLt1Gig_hi_c,36.7,pctUSGt50000kAndLt100000k_hi_c,10,11,0.2,3.7,14.9,36,75.7,97,100,5,83.5,83.5,0,0,73,0,0,3,0,Partially Rural,10650,61.3,4,9,8,17.6525,18.5812,13.1248,12.8629,11.6772,0.415,17198,413,0.0240144,336,0.0195372,2434,0.141528,1218,8,48,248,1.9,14.3,10.2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                   *",13363,1105,8.3,20.5,24,33.8,8.8,1.1,1789,13.4,246,22.3,1360,10.2,235,21.3,30332,42925,29279,12070,1105,972,8.1,52,4.7,4609,38.2,398,36,3620,30,405,36.7,2869,23.8,250,22.6,10214,624,9590,79,65.5,2.6,0.2,13186,1088,1138,8.6,75,6.9,2278,17.3,312,28.7,0.152747,8368,6.6,1.04,0,2.2,3.8,95.4,24.1,71.3,4.6,14.5,12.4,20.4,20.3,9.5,11.1,2.7,3.5,5.7,22.5,8362,1.1,13.5,37.6,47.8,62.6,79.9,8048,98.9,39.617,208,2,0,0,7,143.5,0,0,0,0,7321,0.5,34,0.9,63,6.368,455,33.2,10.9,2261,743,4.453,20.8,9.1,9.4,31.3,10.1,21.5,9.9,55.6,5.3,43,24.4,-0.9,3028,1284,7.1,0.3,0.8,17198,0.176,0.075,29003,17712,537,8,6716,52,0,225,44.44444444,24,0.030318428,0.000451671,0.379177958,0.002935863,0,0.012703252
29005,Atchison,12.2,5382,9.795111071,1078,20,3046,56.6,1258,23.4,2711,50.4,2671,49.6,5382,100,0,0,0,58.8,5.2,2,0.000371609,3,0.000557414,3,0.000557414,69.25,13,2,4,0,100,100,0,0,0,0,94.1,4.5,1.4,0,0,0,0,0,0,0,100,pctDSGt15000kAndLt25000k_hi_c,94.1,pctUSGt1000kAndLt3000k_hi_c,8,8,3.6,53,98.1,100,100,100,100,3,0,5.9,12352.18,1213.23,0,1,1,9,1,Rural,5382,100,2,6,1,10.3444,59.9217,12.3074,9.93395,14.5903,0.417,5180,64,0.0123552,17,0.00328185,961,0.185521,439,0,4,78,0,23.5,8.1,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area      *",4256,430,10.1,13.3,15.8,42.8,8.4,6.5,737,17.3,153,35.6,581,13.7,111,25.8,27793,35288,26858,3926,430,369,9.4,43,10,1553,39.6,172,40,1119,28.5,152,35.3,885,22.5,63,14.7,2938,166,2772,81.7,72.9,3.5,2.5,4166,416,401,9.6,28,6.7,917,22,170,40.9,0.200303,2628,8.1,1.05,0.4,3.7,3.5,81.6,72.6,9,18.4,34.9,17.2,11.4,9.5,5.7,9.3,3.6,4.6,3.7,17.9,2623,4.3,19.1,42.1,34.5,43.8,61.3,2537,95.7,10.337,155,2,0,0,8,110,0,0,0,0,2959,0.5,12,0.3,7,2.125,53,36.7,17.4,920,436,1.41,22,9.2,12,39.3,19.3,20.4,9.2,43.7,3.8,29.8,22.8,-1,1246,532,8.5,0,0,5180,0.241,0.103,29005,5143,109,1,1409,18,0,84,34.61538462,22.61904762,0.021193856,0.000194439,0.273964612,0.003499903,0,0.01633288
29007,Audrain,17.2,25887,37.1176824,6068,23.4,15554,60.1,4265,16.5,14142,54.6,11745,45.4,10664,41.2,15223,58.8,82.9,48.7,5.8,18,0.00069533,7,0.000270406,43,0.001661065,82.15,15,7,3,69.4,30.6,30.6,11.4,0,58,0,27.9,0,64.9,6.4,0.9,0,0,0,0,0,58,pctDSGt100000kAndLt1Gig_hi_c,64.9,pctUSGt4000kAndLt6000k_hi_c,14,12,6.2,33.5,43.9,53.5,100,100,100,5,69.4,72.1,126599.33,811512.3,35,1,0,6,1,Rural,10664,41.2,7,9,3,15.9984,40.9525,15.2381,9.78588,15.9206,0.439,23862,765,0.0320593,1312,0.0549828,3769,0.15795,2386,213,229,149,27.8,17.5,4,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                           *",19750,1769,9,7.3,12.8,41.2,10.2,3.8,2458,12.4,606,34.3,1940,9.8,424,24,23528,33208,22235,17629,1769,2555,14.5,199,11.2,8177,46.4,897,50.7,4340,24.6,405,22.9,2557,14.5,268,15.1,15352,739,14613,69.1,74.8,6.6,2.9,17896,1715,2416,13.5,113,6.6,3628,20.3,508,29.6,0.234197,10514,10,1.06,0,3.1,4.1,99.1,71.9,27.2,0.9,27.4,21,15.1,7.7,3.4,8.5,5.5,6.3,5.2,21,10508,3.8,17.3,40.2,38.6,47.2,67.5,10086,96.1,36.662,494,7,0,0,37,519.5,0,0,0,0,10880,0.8,79,0.5,42,6.097,462,32.2,12.9,2999,1199,3.309,30.7,11.3,12.3,35.3,14.2,21.1,10,64.7,4.9,49.8,28.8,-0.4,4188,1810,10,1,0,23862,0.176,0.076,29007,25388,745,10,14061,66,0,840,31.88405797,7.857142857,0.029344572,0.000393887,0.553844336,0.002599653,0,0.033086498
29009,Barry,20.2,35662,45.06891462,8321,23.3,20248,56.8,7093,19.9,17950,50.3,17712,49.7,26128,73.3,9534,26.7,91.3,41.6,5.8,18,0.000504739,9,0.000252369,18,0.000504739,51.65,14,3,3,48.3,51.7,51.7,14.8,0,31.6,2,51.7,0,18.6,0,0,27.8,0,0,0,2,51.7,pctDSGt15000kAndLt25000k_hi_c,51.7,pctUSGt1000kAndLt3000k_hi_c,13,10,45.3,66.5,90.7,96.4,100,100,100,2,48.3,48.3,85924.06,32834.28,32,1,1,6,1,Rural,26128,73.3,3,6,1,11.3349,24.7225,15.9807,13.3242,14.7721,0.451,35196,3255,0.0924821,49,0.0013922,6357,0.180617,5469,844,2,741,25.9,4.1,11.7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                           *",27442,2920,10.6,12,13.7,36.8,9.3,2.7,4072,14.8,970,33.2,2989,10.9,681,23.3,22485,31708,21695,24636,2920,4378,17.8,321,11,10064,40.9,1116,38.2,6632,26.9,982,33.6,3562,14.5,501,17.2,20381,1269,19112,69.5,66.5,4.9,0,27145,2894,4799,17.7,243,8.4,5983,22,914,31.6,0.23382,14036,11.6,1.07,0.4,2.2,4.7,90.3,70.7,19.7,9.7,22.7,18.2,13.6,9.9,5.1,9.8,3.6,8.9,8.2,23.4,14034,1.1,16.8,40.3,41.7,46.8,69.1,13377,98.8,45.044,319,5,3,1675,46,1055.5,0,0,0,0,17564,4,528,0.7,94,8.507,883,35.9,12.1,4749,1605,4.446,26.4,10.3,17.5,38.5,10.5,24.7,9.8,53.3,6.2,39.7,28.3,-0.7,6845,2833,15.5,0.2,0,35196,0.194,0.08,29009,35789,1074,19,12139,126,4,490,43.44827586,26.32653061,0.030009221,0.000530889,0.33918243,0.003520635,0.000111766,0.013691358
29011,Barton,19.1,12057,20.33981814,3068,25.4,6784,56.3,2205,18.3,6140,50.9,5917,49.1,7711,64,4346,36,92.8,52,7.7,5,0.000414697,1,8.29E-05,9,0.000746454,95.97,16,9,3,18.4,81.6,81.6,2.1,0,16.4,0,81.6,0,2.1,0,0,16.4,0,0,0,0,81.6,pctDSGt15000kAndLt25000k_hi_c,81.6,pctUSGt1000kAndLt3000k_hi_c,10,10,0,22.6,80.4,93.8,100,100,100,3,18.4,18.4,25675.8,2586.45,53,1,1,6,1,Rural,7711,64,9,6,1,11.7654,24.635,12.2513,11.7279,13.2662,0.477,11727,310,0.0264347,16,0.00136437,2085,0.177795,1138,94,0,169,30.3,0,8.1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                           *",8986,655,7.3,10.5,9.2,40.8,7.9,9.5,1263,14.1,203,31,1093,12.2,204,31.1,23325,21754,23602,8074,646,1030,12.8,93,14.4,3454,42.8,293,45.4,2130,26.4,208,32.2,1460,18.1,52,8,6630,248,6382,75,79.8,6.2,2.5,8876,645,1692,19.1,89,13.8,1897,21.4,292,45.3,0.17275,5287,6.4,1.04,0.3,4,5.9,87.9,63.5,24.4,12.1,28.3,15.4,12.6,8.3,2.5,11.4,5.7,10.4,5.4,22.8,5285,1.5,15.9,36.5,46.1,38.8,66.3,4976,98.5,20.792,249,4,1,7.5,14,312.5,0,0,0,0,5601,1.2,58,1.1,56,3.649,448,33.7,14.4,1660,710,6.061,28.5,13.2,14.4,25.3,12.9,24.2,9.3,60,6.8,40.7,27,-1,2266,1053,9.7,1,1.2,11727,0.193,0.09,29011,11754,494,4,4042,41,0,218,45.55555556,18.80733945,0.042028246,0.00034031,0.343882933,0.003488174,0,0.018546878
29013,Bates,18.4,16584,19.47959688,3979,24,9476,57.1,3128,18.9,8410,50.7,8174,49.3,12815,77.3,3769,22.7,88.8,44,7.3,4,0.000241196,2,0.000120598,5,0.000301495,89.17,16,2,3,38.6,61.4,60.7,0.6,0,38.6,0,61.4,0,0,0,0,38.6,0,0,0,0,60.7,pctDSGt15000kAndLt25000k_hi_c,61.4,pctUSGt1000kAndLt3000k_hi_c,11,10,19.3,61.6,99.8,100,100,100,100,3,39.3,38.6,97767.8,128441.78,5,0,0,1,0,Rural,12815,77.3,2,6,1,15.1147,37.2915,16.0524,14.2366,16.6631,0.454,16061,342,0.0212938,214,0.0133242,2665,0.16593,1536,94,32,181,27.5,15,6.8,1,Metro - Counties in metro areas of 1 million population or more                                    *,12458,1129,9.1,16.9,17.7,30.5,10.6,4.6,1666,13.4,269,23.8,1468,11.8,281,24.9,26697,31685,26225,11266,1083,1503,13.3,127,11.7,5206,46.2,535,49.4,2878,25.5,297,27.4,1679,14.9,124,11.4,9324,579,8745,76.2,68,4.6,3.6,12176,1093,1304,10.7,60,5.5,2455,20.2,394,36,0.175495,7092,12.7,1.09,0.6,3,8.1,87.8,54,33.8,12.2,24.5,7.2,11.8,8.9,4.3,9.4,6.9,9.9,17.1,30.1,7082,2.5,12.7,36.4,48.5,32.2,58.4,6515,97.6,20.04,292,3,1,2.5,26,413,0,0,0,0,7855,2.9,194,0.2,11,3.589,404,32.1,13,2152,871,4.018,26,13,12.8,36.8,9.3,24.9,9.4,75.3,7.1,55.8,29.9,0,2959,1319,9.6,0.2,0,16061,0.184,0.082,29013,16172,310,8,4547,32,0,140,33.33333333,23.57142857,0.019168934,0.000494682,0.281164977,0.001978729,0,0.008656938
29015,Benton,19.5,18806,25.12622955,3313,17.6,10232,54.4,5261,28,9377,49.9,9429,50.1,16275,86.5,2531,13.5,85.4,41.7,6.9,8,0.000425396,4,0.000212698,7,0.000372222,89.74,15,2,3,24.3,75.7,60.3,15.7,0,0.1,23.9,75.7,0,0.5,0,0,0,0,0,0,23.9,60.3,pctDSGt15000kAndLt25000k_hi_c,75.7,pctUSGt1000kAndLt3000k_hi_c,7,8,36.6,86.8,99.1,100,100,100,100,2,39.7,24.3,15766.42,2092.86,28,1,1,7,1,Rural,16275,86.5,2,6,1,28.0311,60.856,17.2981,13.0176,16.7149,0.487,18789,376,0.0200117,52,0.00276758,4720,0.251211,2274,48,10,245,12.8,19.2,5.2,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                       *",15657,2071,13.2,7.2,14,46.4,7.5,3.9,3309,21.1,716,34.6,2313,14.8,495,23.9,21236,27514,20282,14639,2071,2068,14.1,242,11.7,5974,40.8,862,41.6,4632,31.6,751,36.3,1965,13.4,216,10.4,10035,860,9175,64.3,58.5,8.1,2,15457,2049,2501,16.2,260,12.7,4508,29.2,762,37.2,0.215404,6033,14,1.09,0.6,1.5,6.7,97.1,59.7,37.4,2.9,21,15.9,11.4,9.5,2.9,14.9,4.4,9.8,10.1,27.4,6025,2.8,15.9,40,41.2,39.7,68.8,5629,97.1,25.344,396,6,2,5,37,327,0,0,0,0,14182,1.4,109,0.8,63,7.238,216,47.6,18.8,3783,1493,1.812,28.3,14,14.9,34,7.5,24.4,9.4,73.5,7.2,55,28.8,-0.5,5446,2220,12.1,0.5,0.6,18789,0.29,0.118,29015,19443,586,7,7986,72,0,272,43.37349398,27.20588235,0.030139382,0.000360027,0.410739083,0.003703132,0,0.013989611
29017,Bollinger,20.1,12394,19.99428803,2822,22.8,7425,59.9,2146,17.3,6197,50,6197,50,12394,100,0,0,0,43.8,7,1,8.07E-05,2,0.000161368,4,0.000322737,83.9,15,11,2,1,99,99,0.2,0,0.9,0,99,0.2,0.9,0,0,0,0,0,0,0,99,pctDSGt15000kAndLt25000k_hi_c,99,pctUSGt1000kAndLt3000k_hi_c,8,9,2.4,31.4,89.4,100,100,100,100,3,1,1,0,70950.75,1,0,0,3,0,Rural,12394,100,11,6,1,30.1046,33.2036,16.1947,11.6714,27.4839,0.411,12195,136,0.0111521,40,0.00328003,2828,0.231898,1321,23,2,149,16.9,5,5.3,3,"Metro - Counties in metro areas of fewer than 250,000 population                                   *",9579,825,8.6,12.7,21.2,37,9.3,2.2,1393,14.5,193,23.4,958,10,235,28.5,22210,28836,21246,8706,781,1792,20.6,131,16.8,4050,46.5,389,49.8,2044,23.5,215,27.5,820,9.4,46,5.9,7228,397,6831,68.4,55.4,4,6.8,9493,816,1440,15.2,85,10.4,2699,28.4,359,44,0.18205,4750,18.2,1.13,1,4.5,4.1,98.3,40,58.3,1.7,16.1,7.8,9.5,7,7.6,11.8,9.6,16,14.6,32.6,4743,3.1,17.6,35.5,43.9,31.9,69.3,4557,97,19.886,314,7,1,15,9,77,0,0,0,0,5876,2.2,101,0.2,9,3.683,225,34.4,12.3,1607,575,3.21,30.5,15.1,14.2,32.1,21.2,22.7,10.5,69.4,6.2,47.1,28.2,-0.7,2282,924,10.8,0.5,0,12195,0.187,0.076,29017,12133,606,4,4241,38,0,214,45.23809524,18.22429907,0.049946427,0.000329679,0.34954257,0.003131954,0,0.017637847
29019,Boone,19.5,172717,250.4264609,35548,20.6,119735,69.3,17434,10.1,89137,51.6,83580,48.4,32447,18.8,140270,81.2,86.4,78.6,4.5,171,0.000990059,101,0.000584772,496,0.00287175,44.62,17,12,4,85.7,14.3,12.6,3.1,0.1,75,9.3,14.3,0.1,15.7,0,0,60.5,0.1,0,0,9.3,75,pctDSGt100000kAndLt1Gig_hi_c,60.5,pctUSGt15000kAndLt25000k_hi_c,17,11,0.6,11.9,32.2,90.3,100,100,100,4,87.4,85.7,0,0,39,0,0,3,0,Partially Rural,32447,18.8,12,9,6,13.3595,13.6573,14.3903,10.1173,14.0784,0.467,175186,5891,0.0336271,15296,0.0873129,19635,0.112081,12251,1184,1562,1487,20.1,10.2,7.6,3,"Metro - Counties in metro areas of fewer than 250,000 population                                   *",140407,9397,6.7,20,18.4,36.7,6.9,3,11993,8.5,2550,27.1,8170,5.8,1867,19.9,28135,39586,27296,105335,9298,6161,5.8,449,4.8,22373,21.2,2490,26.8,28365,26.9,2941,31.6,48436,46,3418,36.8,120244,4980,115264,76.9,78.2,4.4,4.3,131909,9243,25016,19,704,7.6,18028,13.7,2983,32.3,0.219065,90481,11,1.07,1.1,3.9,4.2,99.2,89.8,9.4,0.8,17.2,24,24.6,13.9,4.5,6.7,3.6,3.5,2.1,17.9,88279,2.7,21.2,43.3,32.7,67,80.8,86706,97.2,235.551,2005,17,3,767.5,356,10312.5,7,42807,6639,12835,76185,1.4,969,0.4,267,41.849,2440,20.4,8.2,14254,5726,2.329,23.1,11.7,10.1,26.3,7.8,20.1,10.1,50.7,5,34.4,18,-1.4,19452,7588,7,0.2,0,175186,0.111,0.043,29019,180463,7541,15,106164,961,0,5956,35.93866866,16.62189389,0.041786959,8.31E-05,0.588286796,0.005325191,0,0.033003995
